Pristipomoides filamentosus	91
Pristipomoides multidens	177
Pristipomoides sieboldii	84
Sillago ingenuua	108
Acanthurus olivaceus	74
Acanthurus tennentii	26
Bodianus frenchii	6
Cephalopholis sp.	1
Chaetodon mitratus	5
Chlorurus sordidus	484
Chromis sp.	13
Chromis nigrura	35
Coryphaena hippurus	1241
Dascyllus aruanus	202
Dascyllus trimaculatus	238
Gerres longirostris	50
Gracila albomarginata	14
Lutjanus johnii	270
Lethrinus sp.	141
Platycephalus speculator	17
Protonibea diacanthus	128
Scarus prasiognathos	31
Lethrinus variegatus	10
Pentapodus emeryii	15
Pentapodus sp.	3
Platax sp.	1
Abudefduf septemfasciatus	128
Arripis truttaceus	27
Bodianus vulpinus	3
Centroberyx australis	20
Cheilinus chlorourus	139
Chelmon marginalis	6
Choerodon cephalotes	26
Choerodon jordani	11
Gephyroberyx darwinii	75
Platycephalus endrachtensis	31
Pictilabrus laticlavius	13
Epinephelus morrhua	74
Lethrinus rubrioperculatus	87
Paracaesio sordida	83
Parma sp.	1
Petroscirtes breviceps	57
Tilodon sexfasciatus	18
Zeus faber	279
Plectropomus oligacanthus	63
Variola albimarginata	170
Chiloscyllium punctatum	125
Choerodon schoenleinii	92
Choerodon vitta	16
Coradion chrysozonus	56
Coris pictoides	20
Diploprion bifasciatum	2
Lutjanus bohar	285
Echeneis naucrates	169
Glaucosoma magnificum	24
Gymnothorax cribroris	6
Inegocia japonica	85
Lactoria cornuta	97
Nebrius ferrugineus	63
Ostorhinchus sp.	92
Pseudorhombus arsius	101
Pseudorhombus jenynsii	14
Pseudorhombus spinosus	18
Rachycentron canadum	272
Rhynchobatus djiddensis	1
Saurida sp.	75
Scorpaenidae sp.	40
Synodus sageneus	14
Upeneus sp.	25
Upeneus luzonius	14
Upeneus taeniopterus	5
Upeneus tragula	222
Abalistes stellatus	74
Alepes apercna	28
Amphiprion clarkii	178
Apogonichthyoides brevicaudatus	13
Argyrosomus hololepidotus	14
Turrum fulvoguttatum	80
Caranx ignobilis	225
Cephalopholis boenak	230
Chaetodermis penicilligerus	69
Chelmon rostratus	115
Feroxodon multistriatus	8
Rhabdosargus sarba	268
Sphyraena sp.	26
Apistus carinatus	55
Callionymus grossi	17
Caranx bucculentus	21
Dactyloptena papilio	17
Dercapterus sp.	1
Jaydia sp.	8
Lagocephalus sp.	6
Sphyraena novaehollandiae	9
Nemipterus peronii	124
Carangoides malabaricus	145
Cheilodactylus gibbosus	2
Decapterus muroadsi	29
Elates ransonnettii	39
Epinephelus latifasciatus	80
Epinephelus malabaricus	149
Epinephelus sexfasciatus	132
Glaucosoma buergeri	42
Gymnocranius grandoculis	46
Jaydia melanopus	11
Meuschenia sp.	1
Mobula japanica	412
Paracaesio xanthura	104
Plectorhinchus flavomaculatus	49
Plectropomus laevis	105
Priacanthus tayenus	247
Pristotis obtusirostris	75
Scarus ghobban	233
Scomberomorus semifasciatus	13
Selaroides leptolepis	425
Seriola dumerili	247
Tathicarpus butleri	23
Thunnus tonggol	290
Tragulichthys jaculiferus	12
Upeneus sulphureus	190
Orectolobus wardi	24
